"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"1";1;"paraBFS";19945;"vector";"barabasi";"002k.edges";"joshua";2000;0,036443;4;"2018-08-29 10:30:54"
"2";2;"paraBFS";39945;"vector";"barabasi";"004k.edges";"joshua";4000;0,175828;4;"2018-08-29 10:30:54"
"3";3;"paraBFS";79945;"vector";"barabasi";"008k.edges";"joshua";8000;0,769337;4;"2018-08-29 10:30:54"
"4";4;"paraBFS";99945;"vector";"barabasi";"010k.edges";"joshua";10000;1,228123;4;"2018-08-29 10:30:55"
"5";5;"paraBFS";199945;"vector";"barabasi";"020k.edges";"joshua";20000;5,202687;4;"2018-08-29 10:30:56"
"6";6;"paraBFS";299945;"vector";"barabasi";"030k.edges";"joshua";30000;12,087376;4;"2018-08-29 10:31:02"
"7";7;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;22,099125;4;"2018-08-29 10:31:16"
"8";8;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;35,748299;4;"2018-08-29 10:31:42"
"9";9;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;53,317378;4;"2018-08-29 10:32:24"
"10";11;"paraBFS";9945;"vector";"barabasi";"001k.edges";"joshua";1000;0,026217;1;"2018-08-29 12:12:40"
"11";12;"paraBFS";19945;"vector";"barabasi";"002k.edges";"joshua";2000;0,125661;1;"2018-08-29 12:12:40"
"12";13;"paraBFS";9945;"vector";"barabasi";"001k.edges";"joshua";1000;0,009575;4;"2018-08-29 12:12:40"
"13";14;"paraBFS";19945;"vector";"barabasi";"002k.edges";"joshua";2000;0,036698;4;"2018-08-29 12:12:40"
"14";15;"paraBFS";39945;"vector";"barabasi";"004k.edges";"joshua";4000;0,176745;4;"2018-08-29 12:12:40"
"15";16;"paraBFS";39945;"vector";"barabasi";"004k.edges";"joshua";4000;0,631682;1;"2018-08-29 12:12:40"
"16";17;"paraBFS";79945;"vector";"barabasi";"008k.edges";"joshua";8000;0,801702;4;"2018-08-29 12:12:41"
"17";18;"paraBFS";99945;"vector";"barabasi";"010k.edges";"joshua";10000;1,229703;4;"2018-08-29 12:12:42"
"18";19;"paraBFS";79945;"vector";"barabasi";"008k.edges";"joshua";8000;2,776997;1;"2018-08-29 12:12:41"
"19";20;"paraBFS";99945;"vector";"barabasi";"010k.edges";"joshua";10000;4,441003;1;"2018-08-29 12:12:44"
