_id;algorithm;edges;graphRepresentation;graphType;instance;machine;nodes;runtime;threads;timestamp
173;paraBFS;19945;vector;barabasi;002k.edges;orac;2000;0.144445;1;2018-08-30 10:32:22
174;paraBFS;39945;vector;barabasi;004k.edges;orac;4000;0.691574;1;2018-08-30 10:32:22
175;paraBFS;79945;vector;barabasi;008k.edges;orac;8000;3.079400;1;2018-08-30 10:32:23
176;paraBFS;99945;vector;barabasi;010k.edges;orac;10000;4.901110;1;2018-08-30 10:32:26
177;paraBFS;199945;vector;barabasi;020k.edges;orac;20000;21.036675;1;2018-08-30 10:32:31
178;paraBFS;299945;vector;barabasi;030k.edges;orac;30000;48.452022;1;2018-08-30 10:32:53
179;paraBFS;399945;vector;barabasi;040k.edges;orac;40000;91.275273;1;2018-08-30 10:33:44
180;paraBFS;499945;vector;barabasi;050k.edges;orac;50000;147.747887;1;2018-08-30 10:35:18
181;paraBFS;9945;vector;barabasi;001k.edges;orac;1000;0.030234;1;2018-08-30 11:02:17
182;paraBFS;19945;vector;barabasi;002k.edges;orac;2000;0.141602;1;2018-08-30 11:02:17
183;paraBFS;39945;vector;barabasi;004k.edges;orac;4000;0.692665;1;2018-08-30 11:02:17
184;paraBFS;79945;vector;barabasi;008k.edges;orac;8000;3.072873;1;2018-08-30 11:02:18
185;paraBFS;99945;vector;barabasi;010k.edges;orac;10000;4.901617;1;2018-08-30 11:02:21
186;paraBFS;199945;vector;barabasi;020k.edges;orac;20000;21.205582;1;2018-08-30 11:02:26
187;paraBFS;299945;vector;barabasi;030k.edges;orac;30000;48.438796;1;2018-08-30 11:02:48
188;paraBFS;399945;vector;barabasi;040k.edges;orac;40000;91.256567;1;2018-08-30 11:03:38
189;paraBFS;499945;vector;barabasi;050k.edges;orac;50000;145.833932;1;2018-08-30 11:05:13
190;paraBFS;599945;vector;barabasi;060k.edges;orac;60000;220.031198;1;2018-08-30 11:07:46
191;paraBFS;699945;vector;barabasi;070k.edges;orac;70000;296.326457;1;2018-08-30 11:11:35
192;paraBFS;799945;vector;barabasi;080k.edges;orac;80000;414.328576;1;2018-08-30 11:16:44
