_id;algorithm;graphRepresentation;graphType;instance;machine;runtime;threads;timestamp
1;bitset;map;barabasi;001k.edges;dell;0.007351;1;12-07-2018 15-33-33
2;bitset;map;barabasi;001k.edges;dell;0.008942;1;12-07-2018 15-37-48
3;bitset;map;barabasi;002k.edges;dell;0.027093;1;12-07-2018 15-37-48
4;bitset;map;barabasi;004k.edges;dell;0.136270;1;12-07-2018 15-37-48
5;bitset;map;barabasi;008k.edges;dell;0.411883;1;12-07-2018 15-37-48
6;bitset;map;barabasi;010k.edges;dell;0.659372;1;12-07-2018 15-37-49
7;bitset;map;barabasi;020k.edges;dell;2.767699;1;12-07-2018 15-37-49
8;bitset;map;barabasi;030k.edges;dell;6.590215;1;12-07-2018 15-37-52
9;bitset;map;barabasi;040k.edges;dell;12.555733;1;12-07-2018 15-37-59
10;bitset;map;barabasi;050k.edges;dell;19.137286;1;12-07-2018 15-38-11
11;bitset;map;barabasi;060k.edges;dell;27.184008;1;12-07-2018 15-38-31
12;bitset;map;barabasi;070k.edges;dell;36.090476;1;12-07-2018 15-38-58
13;bitset;map;barabasi;080k.edges;dell;51.184502;1;12-07-2018 15-39-34
14;bitset;map;barabasi;090k.edges;dell;62.038299;1;12-07-2018 15-40-25
15;bitset;map;barabasi;100k.edges;dell;80.209430;1;12-07-2018 15-41-27
16;bitset;map;barabasi;001k.edges;dell;0.005534;1;12-07-2018 15-43-31
17;bitset;map;barabasi;002k.edges;dell;0.024923;1;12-07-2018 15-43-31
18;bitset;map;barabasi;004k.edges;dell;0.119652;1;12-07-2018 15-43-31
19;bitset;map;barabasi;008k.edges;dell;0.437990;1;12-07-2018 15-43-31
20;bitset;map;barabasi;010k.edges;dell;0.683780;1;12-07-2018 15-43-32
21;bitset;map;barabasi;020k.edges;dell;2.942679;1;12-07-2018 15-43-32
