num_nodes,num_edges,runtime
485,2672043,3.33
195,861550,3.7
880,2755434,95.61
963,1816148,2000.21
205,615081,1.13
155,2907838,1.06
979,102444,90.18
611,1155636,26.6
677,531159,279.92
393,1236632,8.65
711,2628000,59.0
324,553475,37.99
1370,378231,2199.4
1317,98775,576.43
872,3235350,294.43
942,2151600,177.81
1474,699806,1637.57
1565,1366371,3600
1593,2625832,329.54
562,2649265,78.78
1099,532081,447.17
1318,2582750,763.78
265,1998142,13.83
106,962670,0.47
611,1432196,4.23
201,2826039,1.52
629,409169,154.41
373,3076035,29.0
454,1396237,27.41
463,1874020,63.26
450,2233634,39.7
452,3039820,11.07
297,3142085,3.55
328,1484147,19.25
1549,1629414,1704.11
1255,774814,435.93
1214,1143471,3550.16
432,1789364,3.5
287,1582490,25.74
807,2356165,29.44
1463,367824,171.99
644,1166229,50.65
1410,126662,308.82
1311,606291,1057.69
1504,1333387,2518.4
158,1341214,1.4
1244,1434,654.49
1531,2296346,1360.08
392,595146,2.81
312,2852907,9.93
270,671226,25.99
851,2391215,624.3
1124,104551,545.18
575,1130791,40.21
1428,1661975,3475.73
1317,1596433,278.05
171,1434027,0.67
1157,341859,3204.78
1048,2646678,128.14
1351,1228405,1153.77
321,1414715,6.18
1116,247075,1182.3
177,1271975,1.61
166,235793,1.05
1014,2988125,110.13
517,994100,4.18
383,2660418,5.29
431,2809350,2.88
284,2345596,4.51
1014,2761665,29.04
1087,1686198,509.37
1518,1468195,2631.45
1068,1983518,69.79
189,1578632,1.21
667,59832,33.16
1479,2781909,642.38
1454,1298214,1556.26
1153,3137959,770.82
917,702760,412.61
1190,826014,49.82
1276,2564325,956.39
656,2345566,16.17
846,2696316,199.02
390,2727660,60.63
833,2423407,21.44
122,1961096,0.98
1526,231384,561.06
1075,685125,39.97
991,815917,268.62
400,3038751,42.61
1377,592803,784.53
863,2445828,137.56
498,358501,39.61
638,1989065,134.28
1085,452280,823.18
453,1347016,5.68
1570,2786165,3383.21
710,948125,256.35
855,262562,114.71
1036,126489,40.08
898,1748125,640.06
894,3069692,115.2
138,153137,0.64
1165,382111,1962.41
933,360627,55.22
911,2812932,6.16
307,2302698,27.23
770,2689117,59.67
739,510945,276.51
1335,322120,473.56
1587,366223,797.26
534,38427,64.4
313,1480425,29.8
1545,855150,572.39
1144,1860968,254.64
348,3255315,4.23
545,537250,1547.48
1479,2147753,318.61
256,1721512,1.33
1251,2485406,428.02
327,2758860,5.8
911,2180879,1180.45
190,1086256,2.24
1037,1498189,3223.13
577,2005381,256.18
1564,2212457,3600
1180,2222617,54.9
586,2043621,67.32
630,1565647,266.79
1317,2026725,536.04
592,1933701,13.01
1114,1485086,384.5
1295,50330,332.15
738,2424011,11.08
635,1467654,18.17
1464,1838039,1035.66
1281,2177920,178.66
1381,1934215,3600
893,3270894,363.0
1067,2745813,819.01
819,2283353,185.6
615,2146567,4.73
1015,1665951,145.15
455,2961853,135.64
236,1764059,8.0
901,1933336,1703.44
1291,2484031,1118.91
